19,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2025.2.0.1 (1395)"
,CompMgr:,,"BEMCmpMgr 2025.2.0.1 (625)"
,OpenStudio:,,"3.10.0+e80a80c812"
,EnergyPlus:,,"25.1.0-1c11a3d85f"
,CSE:,,"CSE 0.927.0 EXE"
,Ruleset:,,"CA 2025 Nonresidential, Vers. 1.0 (T24_2025.bin)"
Run Title:,,,""
Run Date/Time:,,,"2026-07-22 11:42:57"
NonRes Cond. Area:,,,2501
Residential Cond. Area:,,,0
Model:,,,"Proposed"
Model File:,,,"C:\Users\MichaelSawford\Downloads\C_HVAC - June 2026\Complex HVAC Modeling Guidance - June 2026\EX08a_NR_Rstnt_SZ-VAV-AC\EX08a_NR_Rstnt_SZ-VAV-AC.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh)
1,1,1, 01/01 01,0,0.0822466,0.650089,0,0,0,0.350129,0.500184,1.54182,0,0,1.08246,3.12447,63.5434,0,0,0,0,5.03915,0,20.2518,0,0,0,68.5825,88.8343,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3628,626.966,894.518,8.29512,89.9626,100,0.000438895,0.0054633,0.006288,0.00127989,0,0,
1,1,2, 01/01 02,0,0.0822466,0.650089,0,0,0,0.262597,0.375138,1.54182,0,0,0.994932,2.91189,67.8036,0,0,0,0,4.91722,0,0,0,0,0,72.7208,72.7208,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3529,626.966,894.518,7.19566,89.9626,100,0.000380722,0.0054633,0.006288,0.000390829,0,0,
1,1,3, 01/01 03,0,0.0822466,0.650089,0,0,0,0.262597,0.375138,1.54182,0,0,0.994932,2.91189,71.7243,0,0,0,0,3.68732,0,0,0,0,0,75.4116,75.4116,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74636,626.966,894.518,4.74042,89.9626,100,0.000250816,0.0054633,0.006288,0,0,0,
1,1,4, 01/01 04,0,0.0822466,0,0,0,0,0.262597,0.375138,1.54182,0,0,0.344843,2.2618,0,0,0,0,0,1.12076,0,0,0,0,0,1.12076,1.12076,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53065,626.966,894.518,4.31459,89.9626,100,0.000228285,0.0054633,0.006288,0,0,0,
1,1,5, 01/01 05,0,0.0822466,0,0,0,0,0.262597,0.375138,1.54182,0,0,0.344843,2.2618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49252,626.966,894.518,4.23227,89.9626,100,0.000223929,0.0054633,0.006288,0,0,0,
1,1,6, 01/01 06,0,0.0822466,0,0,0,0,0.262597,0.375138,1.54182,0,0,0.344843,2.2618,0,0,0,0,0,1.12071,0,0,0,0,0,1.12071,1.12071,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55552,626.966,894.518,4.35364,89.9626,100,0.000230351,0.0054633,0.006288,0,0,0,
1,1,7, 01/01 07,0,0.0822466,0,0,0,0,0.525193,0.750276,1.54182,0,0,0.60744,2.89953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51072,626.966,894.518,5.54605,89.9626,100,0.000293441,0.0054633,0.006288,0.000150648,0,0,
1,1,8, 01/01 08,0,0.0822466,0,0,0,0,0.425282,0.750276,1.54182,0,0,0.507529,2.79962,0,0,0,0,0,1.12076,0,0,0,0,0,1.12076,1.12076,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54374,626.966,894.518,4.35696,89.9626,100,0.000230527,0.0054633,0.006288,0,-2.5483,0,
1,1,9, 01/01 09,0,0.0822466,0,0,0,0,0.612466,1.25046,1.54182,0,0,0.694712,3.48699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68693,626.966,894.518,2.68137,89.9626,100,0.000141871,0.0054633,0.006288,0,-7.73467,0,
1,1,10, 01/01 10,0,0.0411233,2.21114,0,0,0,0.612466,1.25046,1.54182,0,0,2.86472,5.657,52.4619,0,0,0,0,0,0,20.2518,0,0,0,52.4619,72.7136,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68395,626.966,894.518,2.3791,89.9626,100,0.000125878,0.0054633,0.006288,0,-11.8717,0,
