20,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC 2025.2.1.1 (1409)"
,CompMgr:,,"BEMCmpMgr 2025.2.1.1 (890)"
,OpenStudio:,,"3.10.0+e80a80c812"
,EnergyPlus:,,"25.1.0-1c11a3d85f"
,CSE:,,"CSE 0.928.0 EXE"
,Ruleset:,,"CA 2025 Nonresidential, Vers. 1.0 (T24_2025.bin)"
Run Title:,,,"MF88 Individual Supply + Central Exhaust (SZHP)"
Run Date/Time:,,,"2026-05-21 13:22:00"
NonRes Cond. Area:,,,17613
Residential Cond. Area:,,,95028
Gross-Up adjustment to NEM3:,,,6.6,%
Model:,,,"Proposed"
Model File:,,,"C:\GitHub\P-ComplexHVAC\P-SCE-Complex_HVAC\MF Examples\MF88_1C_ISUP_IEXH-SZHP_CZ09\MF88Unit_ISUP_IEXH-SZHP_CZ9.cibd25x"

,,,,Nonres Site Electric Use,,,,,,,,,,,,,Nonres Site Natural Gas Use,,,,,,,,,,,,,Nonres Site Propane Use,,,,,,,,,,,,,Nonres LSC Multipliers,,,Nonres Source Energy Multipliers,,,Nonres CO2 Emissions Multipliers,,,Nonres Elec Demand,Building Wide,,,PV/Batt Mults (Res/NRes area weighted avg),,,,Residential Site Electric Use,,,,,,,,,,,,,Residential Site Natural Gas Use,,,,,,,,,,,,,Residential Site Propane Use,,,,,,,,,,,,,Res LSC Multipliers,,,Res Source Energy Multipliers,,,Res CO2 Emissions Multipliers,,,Res Elec Demand,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,LSC,Source Energy,CO2 Emis,Elec Demand,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,
Mo,Da,Hr,(DST),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),(kWh),(kWh),(mult),($/kWh),(kBtu/kWh),(tonnes CO2-e/kWh),(frac),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kWh),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),(kBtu),($/kWh),($/MBtu),($/MBtu),(kBtu/kWh),(kBtu/therm),(kBtu/therm),(tonnes CO2-e/kWh),(tonnes CO2-e/therm),(tonnes CO2-e/therm),(frac),
1,1,1, 01/01 01,0,0,0,0,0,0.57154,0.836618,0.88065,0,0,0,1.40816,2.28881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3628,626.966,894.518,8.29512,89.9626,100,0.000438895,0.0054633,0.006288,0.00127989,0,0,9.24223,16.0616,8.29512,0.000438895,0.00127989,2.14657,0,4.90253,0,1.79811,1.5715,7.61334,15.0407,10.1755,1.71036,7.32383,18.032,52.2824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.1911,1269.81,1106.78,8.29512,89.9626,100,0.000438895,0.0060051,0.006288,0.00127989,
1,1,2, 01/01 02,0,0,0,0,0,0.739461,0.836618,0.88065,0,0,0,1.57608,2.45673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3529,626.966,894.518,7.19566,89.9626,100,0.000380722,0.0054633,0.006288,0.000390829,0,0,6.17296,12.1377,7.19566,0.000380722,0.000390829,2.93987,0,4.99339,0,1.78157,2.47025,7.61334,13.853,5.18684,1.4129,7.32383,19.7984,47.5749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.2831,1269.81,1106.78,7.19566,89.9626,100,0.000380722,0.0060051,0.006288,0.000390829,
1,1,3, 01/01 03,0,0,0,0,0,0.689207,0.836618,0.88065,0,0,0,1.52583,2.40648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.74636,626.966,894.518,4.74042,89.9626,100,0.000250816,0.0054633,0.006288,0,0,0,2.64704,7.62995,4.74042,0.000250816,0,3.4871,0,5.05239,0,1.75394,3.12226,7.61334,13.1418,4.31075,1.11545,7.32383,21.029,46.9208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.79372,1269.81,1106.78,4.74042,89.9626,100,0.000250816,0.0060051,0.006288,0,
1,1,4, 01/01 04,0,0,0,0,0,0.56439,0.836618,0.88065,0,0,0,1.40101,2.28166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53065,626.966,894.518,4.31459,89.9626,100,0.000228285,0.0054633,0.006288,0,0,0,2.48192,7.41886,4.31459,0.000228285,0,4.36225,0,5.13442,0,1.73479,3.37272,7.61334,13.1043,4.20688,1.26418,7.32383,22.2175,48.1167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58349,1269.81,1106.78,4.31459,89.9626,100,0.000228285,0.0060051,0.006288,0,
1,1,5, 01/01 05,0,0,0,0,0,0.564474,0.836618,0.88065,0,0,0,1.40109,2.28174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49252,626.966,894.518,4.23227,89.9626,100,0.000223929,0.0054633,0.006288,0,0,0,2.45273,7.38155,4.23227,0.000223929,0,5.00248,0,5.20511,0,1.72066,3.20304,7.61334,12.4563,4.06677,1.56163,7.32383,22.7446,48.1531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.54633,1269.81,1106.78,4.23227,89.9626,100,0.000223929,0.0060051,0.006288,0,
1,1,6, 01/01 06,0,0,0,0,0,0.564551,0.836618,0.88065,0,0,0,1.40117,2.28182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.55552,626.966,894.518,4.35364,89.9626,100,0.000230351,0.0054633,0.006288,0,0,0,2.50096,7.4432,4.35364,0.000230351,0,5.43487,0,5.23731,0,1.70743,25.2538,7.61334,13.5848,4.17554,2.30527,7.32383,45.2467,72.6362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60773,1269.81,1106.78,4.35364,89.9626,100,0.000230351,0.0060051,0.006288,0,
1,1,7, 01/01 07,0,0,0,0,0,0.857313,0.836618,0.88065,0,0,0,1.69393,2.57458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51072,626.966,894.518,5.54605,89.9626,100,0.000293441,0.0054633,0.006288,0.000150648,0,0,3.23209,8.37792,5.54605,0.000293441,0.000150648,5.65443,0,5.22387,0,1.6977,13.6279,7.61334,15.2972,5.53656,3.12326,7.32383,33.8173,65.0981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.53865,1269.81,1106.78,5.54605,89.9626,100,0.000293441,0.0060051,0.006288,0.000150648,
1,1,8, 01/01 08,0,0,0,0,0,0.890193,0.783258,0.88065,0,0,0,1.67345,2.5541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.54374,626.966,894.518,4.35696,89.9626,100,0.000230527,0.0054633,0.006288,0,-28.7864,0,2.49194,7.43167,4.35696,0.000230527,0,4.40821,0,5.07384,0,1.70198,25.9359,7.77979,16.6774,12.5564,3.0489,7.32383,44.8998,84.5063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59624,1269.81,1106.78,4.35696,89.9626,100,0.000230527,0.0060051,0.006288,0,
